region,window,n_events,baseline_p75_vol,baseline_sample_n,event_hit_rate,false_positive_rate,false_positive_sample_n,ic,ic_pvalue
middle_east,5d,27,0.2375,494,0.074,0.251,494,0.096,0.633
middle_east,10d,27,0.2317,491,0.185,0.251,491,0.141,0.482
middle_east,21d,27,0.2287,481,0.185,0.249,481,0.268,0.177
eastern_europe,5d,30,0.3105,547,0.3,0.25,547,-0.041,0.829
eastern_europe,10d,30,0.3146,543,0.267,0.25,543,0.004,0.984
eastern_europe,21d,30,0.318,535,0.3,0.25,535,0.071,0.71
taiwan_strait,5d,25,0.355,641,0.32,0.25,641,0.479,0.015
taiwan_strait,10d,25,0.3562,637,0.44,0.25,637,0.152,0.469
taiwan_strait,21d,25,0.3635,631,0.24,0.25,631,0.023,0.913
strait_of_hormuz,5d,19,0.3138,529,0.316,0.25,529,0.07,0.775
strait_of_hormuz,10d,19,0.3248,529,0.263,0.25,529,-0.025,0.92
strait_of_hormuz,21d,19,0.332,529,0.368,0.25,529,0.068,0.781
south_china_sea,5d,25,0.2093,612,0.24,0.25,612,0.392,0.053
south_china_sea,10d,25,0.213,609,0.32,0.25,609,0.255,0.218
south_china_sea,21d,25,0.2033,601,0.32,0.25,601,0.09,0.669
korean_peninsula,5d,30,0.1813,588,0.333,0.25,588,0.075,0.695
korean_peninsula,10d,30,0.1813,585,0.233,0.25,585,-0.022,0.906
korean_peninsula,21d,30,0.1788,577,0.3,0.25,577,-0.245,0.192
panama_canal,5d,33,0.2137,440,0.273,0.25,440,0.237,0.183
panama_canal,10d,33,0.2184,439,0.273,0.251,439,0.207,0.247
panama_canal,21d,33,0.2205,437,0.303,0.249,437,-0.229,0.2
red_sea,5d,27,0.2142,526,0.222,0.251,526,-0.038,0.85
red_sea,10d,27,0.2195,522,0.111,0.251,522,0.132,0.511
red_sea,21d,26,0.219,512,0.231,0.25,512,0.329,0.101
india_pakistan,5d,30,0.1381,553,0.333,0.25,553,-0.231,0.22
india_pakistan,10d,30,0.1389,549,0.4,0.25,549,-0.059,0.759
india_pakistan,21d,30,0.1387,539,0.3,0.25,539,-0.088,0.645
sahel,5d,30,0.3795,565,0.3,0.25,565,0.35,0.058
sahel,10d,30,0.3658,563,0.2,0.25,563,0.467,0.009
sahel,21d,30,0.3563,557,0.267,0.25,557,0.331,0.074
venezuela,5d,29,0.2306,376,0.138,0.25,376,0.121,0.531
venezuela,10d,29,0.2232,374,0.241,0.251,374,0.078,0.687
venezuela,21d,29,0.2206,372,0.31,0.25,372,-0.134,0.49
russia_arctic,5d,27,0.3034,637,0.259,0.25,637,-0.138,0.492
russia_arctic,10d,27,0.2934,634,0.222,0.251,634,-0.307,0.119
russia_arctic,21d,27,0.2907,626,0.296,0.251,626,-0.154,0.444
